disthash,kutchas,puccas,university,unemployed,malaria,malaria_now,under_net,population,current_total,saturated,cost_per_completion,cost_per_message,CTR,CPM
2568806d,0.270935960591133,0.4729064039408867,0.6059113300492611,0.43349753694581283,0.12807881773399016,0.014778325123152709,0.5862068965517241,3487731.0,203.0,False,111.11111111111111,18.867924528302,2.22533343,73.68653747
297259d4,0.22767857142857142,0.48660714285714285,0.6428571428571429,0.47767857142857145,0.12053571428571429,0.008928571428571428,0.4955357142857143,3405559.0,224.0,False,66.66666666666667,23.255813953488,1.82073767,66.9388848
2c9636b1,0.2897959183673469,0.46122448979591835,0.6122448979591837,0.3877551020408163,0.12244897959183673,0.00816326530612245,0.45714285714285713,3797117.0,245.0,False,66.66666666666667,23.809523809524,1.6030034,59.59120434
2e0a86c3,0.29411764705882354,0.5215686274509804,0.611764705882353,0.44313725490196076,0.27058823529411763,0.023529411764705882,0.48627450980392156,3676841.0,255.0,True,26.31578947368421,9.0909090909091,2.06951296,56.69898509
335580ac,0.2857142857142857,0.4642857142857143,0.5267857142857143,0.45982142857142855,0.5580357142857143,0.04017857142857143,0.7410714285714286,2445474.0,224.0,False,100.0,22.222222222222,1.69271568,56.42385601
3b34c260,0.4069767441860465,0.4186046511627907,0.6201550387596899,0.42248062015503873,0.3798449612403101,0.027131782945736434,0.5193798449612403,1862559.0,258.0,True,50.0,16.949152542373,1.96164452,62.67234896
3c054e8f,0.2795275590551181,0.47244094488188976,0.5748031496062992,0.44881889763779526,0.16929133858267717,0.011811023622047244,0.5433070866141733,2663629.0,254.0,True,47.61904761904762,19.230769230769,1.80065478,60.62810719
3c73baaa,0.24302788844621515,0.5697211155378487,0.5577689243027888,0.3784860557768924,0.11952191235059761,0.02390438247011952,0.41832669322709165,3443689.0,251.0,True,33.333333333333336,9.2592592592593,1.98019802,59.64451867
419b24e9,0.2,0.624,0.568,0.364,0.124,0.004,0.436,4681645.0,250.0,True,43.47826086956522,14.285714285714,1.63922043,75.5401118
42504ec5,0.2727272727272727,0.44805194805194803,0.5909090909090909,0.45454545454545453,0.34415584415584416,0.01948051948051948,0.44805194805194803,1578213.0,154.0,False,125.0,29.411764705882,1.95248942,81.353726
426d0912,0.1934156378600823,0.4897119341563786,0.6666666666666666,0.43209876543209874,0.18106995884773663,0.0205761316872428,0.4567901234567901,1689974.0,243.0,False,62.5,25.0,1.6582945,60.52169703
4c6cbda0,0.32677165354330706,0.5275590551181102,0.6496062992125984,0.38188976377952755,0.28346456692913385,0.011811023622047244,0.4330708661417323,5954391.0,254.0,True,35.714285714285715,9.9009900990099,2.25328161,53.14343413
