stratumid,cluster_kutcha,cluster_pucca,cluster_university,cluster_unemployed,cluster_malaria5year,cluster_malaria2weeks,cluster_sleepundernet,cluster_population,cluster_current_total,cluster_cost_per_completion,cluster_cost_per_message,cluster_CTR,cluster_CPM
19f0ff06,0.20689655172413793,0.4482758620689655,0.7586206896551724,0.6551724137931034,0.1724137931034483,0.034482758620689655,0.41379310344827586,,29.0,200.0,76.923076923077,1.20354323,96.2834585
22a26988,0.27225130890052357,0.47643979057591623,0.5759162303664922,0.39267015706806285,0.2198952879581152,0.02617801047120419,0.7068062827225131,1413199.0,191.0,90.9090909090909,38.461538461538,1.50812918,73.56727728
247b0531,0.2734375,0.3984375,0.5546875,0.44140625,0.3125,0.0390625,0.515625,2632733.0,256.0,76.92307692307692,24.390243902439,1.95092518,67.04210244
25141c70,0.36666666666666664,0.37777777777777777,0.6222222222222222,0.4777777777777778,0.4222222222222222,0.044444444444444446,0.8111111111111111,1322784.0,90.0,200.0,37.037037037037,1.77990758,85.57247989
2568806d,0.270935960591133,0.4729064039408867,0.6029411764705882,0.43137254901960786,0.12745098039215685,0.014705882352941176,0.5833333333333334,3487731.0,204.0,111.11111111111111,18.867924528302,2.22533343,73.68653747
282c9c61,0.7,0.1,0.3,0.7,0.5,0.0,0.7,726978.0,10.0,333.3333333333333,83.333333333333,1.53232037,128.76641772
297259d4,0.22767857142857142,0.48660714285714285,0.6428571428571429,0.47767857142857145,0.12053571428571429,0.008928571428571428,0.4955357142857143,3405559.0,224.0,66.66666666666667,23.255813953488,1.82073767,66.9388848
2ae8c08a,0.2826086956521739,0.45652173913043476,0.5957446808510638,0.3617021276595745,0.2978723404255319,0.02127659574468085,0.48936170212765956,1104285.0,47.0,111.11111111111111,47.619047619048,1.93076923,76.92307692
2c9636b1,0.2897959183673469,0.46122448979591835,0.6122448979591837,0.3877551020408163,0.12244897959183673,0.00816326530612245,0.45714285714285713,3797117.0,245.0,66.66666666666667,23.809523809524,1.6030034,59.59120434
2e0a86c3,0.2890625,0.51953125,0.609375,0.44140625,0.26953125,0.0234375,0.484375,3676841.0,256.0,25.641025641025642,9.0909090909091,2.06951296,56.69898509
